[2026-02-10 09:45:39] [INFO    ] [MainProcess] Log file created: ./logs/ocr_run_20260210_094539.log | fname=
[2026-02-10 09:45:39] [INFO    ] [MainProcess] ========== OCR Pipeline Starting ========== | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Input directory : /home/whirldata/cpu_multi_paddle_try/attachments | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Output directory: /home/whirldata/cpu_multi_paddle_try/ocr_output | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Total vCPUs     : 30 | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Num workers     : 1 | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Threads/worker  : 5 | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Queue size      : 5 | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Supported exts  : {'.jpeg', '.pdf', '.png', '.jpg', '.bmp', '.webp', '.tiff', '.tif'} | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Total entries found in input directory: 10 | fname=SCAN
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] All entries: ['0001_1700000449_2025_01.PDF', '0001_1700000446_2025_01.PDF', '0001_1700000451_2025_01.PDF', '0001_1700000448_2025_01.PDF', '0002_1700000096_2025_01.PDF', '0001_1700000455_2025_01.PDF', '0001_1700000356_2025_02.PDF', '0001_1700000454_2025_01.PDF', '0001_1700000163_2025_01.PDF', '0038_1700000012_2025_01.PDF'] | fname=SCAN
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000163_2025_01.PDF (0.02 MB) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000356_2025_02.PDF (0.02 MB) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000446_2025_01.PDF (0.25 MB) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000448_2025_01.PDF (0.76 MB) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000449_2025_01.PDF (0.28 MB) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000451_2025_01.PDF (0.01 MB) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000454_2025_01.PDF (0.01 MB) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000455_2025_01.PDF (0.25 MB) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0002_1700000096_2025_01.PDF (0.24 MB) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Queuing file: 0038_1700000012_2025_01.PDF (0.17 MB) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Files to process: 10, Skipped: 0 | fname=SCAN
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Multiprocessing start method set to 'spawn' | fname=INIT
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Task queue created with maxsize=5 | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Spawning 1 worker processes... | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Worker-0 started (PID=42384) | fname=INIT
[2026-02-10 09:45:39] [INFO    ] [MainProcess] Enqueuing 10 file(s)... | fname=ENQUEUE
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Putting file 1/10 into queue | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] File enqueued successfully (1/10) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Putting file 2/10 into queue | fname=0001_1700000356_2025_02.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] File enqueued successfully (2/10) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Putting file 3/10 into queue | fname=0001_1700000446_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] File enqueued successfully (3/10) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 09:45:39] [DEBUG   ] [MainProcess] Putting file 4/10 into queue | fname=0001_1700000448_2025_01.PDF
