[2026-02-10 09:59:28] [INFO    ] [MainProcess] Log file created: ./logs/ocr_run_20260210_095928.log | fname=
[2026-02-10 09:59:28] [INFO    ] [MainProcess] ========== OCR Pipeline Starting ========== | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Input directory : /home/whirldata/cpu_multi_paddle_try/attachments | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Output directory: /home/whirldata/cpu_multi_paddle_try/ocr_output | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Total vCPUs     : 30 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Num workers     : 4 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Threads/worker  : 5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Queue size      : 5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Supported exts  : {'.pdf', '.webp', '.tiff', '.tif', '.jpeg', '.jpg', '.bmp', '.png'} | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Total entries found in input directory: 10 | fname=SCAN
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] All entries: ['0001_1700000449_2025_01.PDF', '0001_1700000446_2025_01.PDF', '0001_1700000451_2025_01.PDF', '0001_1700000448_2025_01.PDF', '0002_1700000096_2025_01.PDF', '0001_1700000455_2025_01.PDF', '0001_1700000356_2025_02.PDF', '0001_1700000454_2025_01.PDF', '0001_1700000163_2025_01.PDF', '0038_1700000012_2025_01.PDF'] | fname=SCAN
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000163_2025_01.PDF (0.02 MB) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000356_2025_02.PDF (0.02 MB) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000446_2025_01.PDF (0.25 MB) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000448_2025_01.PDF (0.76 MB) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000449_2025_01.PDF (0.28 MB) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000451_2025_01.PDF (0.01 MB) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000454_2025_01.PDF (0.01 MB) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000455_2025_01.PDF (0.25 MB) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0002_1700000096_2025_01.PDF (0.24 MB) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Queuing file: 0038_1700000012_2025_01.PDF (0.17 MB) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Files to process: 10, Skipped: 0 | fname=SCAN
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Multiprocessing start method set to 'spawn' | fname=INIT
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Task queue created with maxsize=5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Spawning 4 worker processes... | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Worker-0 started (PID=53428) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Worker-1 started (PID=53429) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Worker-2 started (PID=53430) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Worker-3 started (PID=53431) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [MainProcess] Enqueuing 10 file(s)... | fname=ENQUEUE
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Putting file 1/10 into queue | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] File enqueued successfully (1/10) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Putting file 2/10 into queue | fname=0001_1700000356_2025_02.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] File enqueued successfully (2/10) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Putting file 3/10 into queue | fname=0001_1700000446_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] File enqueued successfully (3/10) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Putting file 4/10 into queue | fname=0001_1700000448_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] File enqueued successfully (4/10) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Putting file 5/10 into queue | fname=0001_1700000449_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] File enqueued successfully (5/10) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 09:59:28] [DEBUG   ] [MainProcess] Putting file 6/10 into queue | fname=0001_1700000451_2025_01.PDF
[2026-02-10 09:59:28] [INFO    ] [Worker-0] Worker-0 process started (PID=53428) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-0] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-0] Worker-0 initializing PaddleOCR model... | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-1] Worker-1 process started (PID=53429) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-1] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-1] Worker-1 initializing PaddleOCR model... | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-2] Worker-2 process started (PID=53430) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-2] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-2] Worker-2 initializing PaddleOCR model... | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-3] Worker-3 process started (PID=53431) | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-3] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 09:59:28] [INFO    ] [Worker-3] Worker-3 initializing PaddleOCR model... | fname=INIT
[2026-02-10 09:59:35] [INFO    ] [Worker-3] Worker-3 PaddleOCR model initialized in 7.03s | fname=INIT
[2026-02-10 09:59:35] [INFO    ] [Worker-3] Worker-3 entering processing loop | fname=INIT
[2026-02-10 09:59:35] [DEBUG   ] [Worker-3] Worker-3 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 09:59:35] [INFO    ] [Worker-3] Worker-3 picked up task | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:59:35] [INFO    ] [Worker-3] Worker-3 starting OCR (0.02 MB) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 09:59:35] [DEBUG   ] [MainProcess] File enqueued successfully (6/10) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 09:59:35] [DEBUG   ] [MainProcess] Putting file 7/10 into queue | fname=0001_1700000454_2025_01.PDF
[2026-02-10 09:59:35] [INFO    ] [Worker-0] Worker-0 PaddleOCR model initialized in 7.20s | fname=INIT
